51,50,175
50,49,161
49,48,170
48,47,103
47,46,134
46,44,170
44,43,116
43,42,98
42,41,125
41,40,86
40,39,101
39,38,116
38,37,117
37,36,134
36,35,115
35,34,92
34,33,83
33,32,95
32,31,108
31,30,108
30,29,200
29,28,100
28,27,100
27,26,111
26,25,111
25,24,123
71,70,138
70,69,132
69,68,114
68,67,127
67,66,141
66,65,149
65,64,105
64,63,116
63,62,100
62,61,108
61,60,113
60,59,92
59,58,144
58,57,112
57,56,114
56,54,100
54,53,103
53,52,133
54,55,203
44,45,157
120,119,114
119,118,130
118,117,124
117,116,98
116,115,107
115,114,100
114,113,95
113,112,91
112,111,124
111,110,104
110,109,94
109,108,172
108,107,133
107,106,218
106,105,102
105,104,132
104,103,114
103,102,117
102,101,167
101,100,131
100,99,120
99,98,205
23,22,78
22,21,110
21,20,103
20,19,146
19,18,96
18,17,103
17,16,97
16,15,90
15,14,135
14,13,128
13,12,197
12,11,167
11,10,91
10,9,116
9,8,112
8,7,99
7,6,147
6,5,97
5,4,149
4,3,131
3,2,124
2,1,72
1,0,92
97,96,110
96,95,117
95,94,112
94,93,134
93,83,178
83,82,110
82,81,117
81,80,124
80,79,110
79,78,149
78,77,153
77,76,227
76,75,227
75,74,125
74,73,113
73,72,128
92,91,159
91,90,135
90,89,155
89,88,118
88,87,130
87,86,167
86,85,109
85,84,118
84,83,140
83,82,110
82,81,117
81,80,124
80,79,110
79,78,149
78,77,153
77,76,227
76,75,227
75,74,125
74,73,113
73,72,128
82,35,180
78,111,120
112,9,300
109,32,240
62,30,120
76,61,120
120,23,300
108,64,120
29,77,120
27,8,300
10,68,300
79,67,120
66,33,180
